Epoch,Train Loss,Validation Loss,Validation Accuracy,AUC,Precision,Recall
1,2.750117918010801,0.6944571162905329,0.7617328519855595,0.9740584272869088,0.9964141640519946,0.7392750249418024
2,0.38127922448329626,0.4142515242207222,0.855595667870036,0.9794737620630726,0.9952959623676989,0.8443631526438311
3,0.30842903453158216,0.8319276172618489,0.7331528279181708,0.9794769092936669,0.9981203007518797,0.7063518456933822
4,0.4484224376268685,0.29992231169643885,0.911251504211793,0.9794853019085854,0.9927325581395349,0.9085467243099434
5,0.39642121739016145,0.4447547051195915,0.8802647412755716,0.9817576023977701,0.9946909366704588,0.8722979714000665
6,0.21491570345388028,0.11132212842998203,0.9632972322503008,0.984837167534428,0.9871664978047957,0.9720651812437645
7,0.3057372760551516,0.20439519314095378,0.9320096269554753,0.9841547430338674,0.9918641669614432,0.932490854672431
8,0.23725024710875003,0.09661923109104884,0.9714199759326113,0.9855730949550943,0.9818001323626737,0.9866977053541736
9,0.14442207583779237,0.11247942411528829,0.9596871239470517,0.9845061837835796,0.9884393063583815,0.966744263385434
10,0.1265237138955854,0.1901417852092821,0.9362214199759326,0.9864905126733731,0.9960951366702165,0.9331559694047223
11,0.07717035422683693,0.08489617602250431,0.970517448856799,0.9869022753428122,0.9849949983327776,0.98237445959428
12,0.1423673402023269,0.15027827339228958,0.9512635379061372,0.985628171490497,0.9927260131624523,0.953109411373462
13,0.06164209595590364,0.16175737034063786,0.940734055354994,0.9866048620516376,0.9936753338018272,0.9404722314599269
14,0.05598139156063553,0.24280084786005318,0.9175691937424789,0.98593397739659,0.9970898508548564,0.9115397406052544
15,0.03710833114455454,0.1611921360465483,0.9398315282791817,0.9865382456707221,0.9947127247091999,0.9384768872630529
